Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class
ELEC,The College of New Jersey - Metzger Garage Lot 7,Metzger Dr,,Ewing,NJ,08638,,,E,,Private,,,,,,,5,,,Non-Networked,,GPS,40.26683159398983,-74.77973664550781,2022-01-10,150453,2023-02-15 22:45:41 UTC,P,,,2019-12-12,,,,,J1772,US,,,,Privé,,private,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,,,,,,,,,,LD
ELEC,The Landis Sewerage Authority,1776 S Mill Rd,,Vineland,NJ,08360,,,E,,Private,,,,,,,2,,,Non-Networked,,200-9,39.45803,-75.061244,2022-01-10,150454,2023-02-15 22:45:41 UTC,P,,,2019-12-12,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD
ELEC,Town of Secaucus Police,1203 Paterson Plank Rd,Facing John St,Secaucus,NJ,07094,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,40.788043,-74.055384,2022-11-10,150457,2023-02-15 22:45:41 UTC,P,,,2019-12-12,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD
ELEC,Wakefern Food Corp,5000 Riverside Dr,,Keasbey,NJ,08832,,,E,,Private,,,,,,,4,,,Non-Networked,,200-8,40.510417,-74.330828,2023-02-13,150458,2023-02-14 15:54:11 UTC,P,,,2019-12-12,,,,,J1772,US,,,,Privé,,private,,,FACTORY,,,,,,,,,,,,,,,,,,,,,,,,,LD
ELEC,Wick Companies,100 Woodbridge Center Dr,,Woodbridge,NJ,07095,,,E,,Private,For office building tenants and their employees cars,,,,,,1,,,Non-Networked,,200-8,40.552961,-74.299258,2023-02-13,150459,2023-02-14 15:54:11 UTC,P,,,2019-12-12,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD
ELEC,World Fuel Services,23 Wallace St,,Red Bank,NJ,07701,,,E,,Private,,,,,,,1,,,Non-Networked,,200-9,40.350599,-74.064339,2022-01-10,150460,2022-02-10 19:42:29 UTC,P,,,2019-12-12,,,,,J1772,US,,,,Privé,,private,,,PARKING_GARAGE,,,,,,,,,,,,,,,,,,,,,,,,,LD
ELEC,101 Hudson-Littleman Parking - Tesla Destination,101 Hudson St,,Jersey City,NJ,07311,,212-714-3571  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.71585,-74.035362,2022-10-06,150536,2023-01-18 15:15:20 UTC,P,,,2019-08-28,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,
ELEC,135 Greene-Littleman Parking - Tesla Destination,135 Greene St,,Jersey City,NJ,07311,,212-714-3571  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.7174973,-74.0367399,2022-10-06,150539,2023-01-18 15:15:20 UTC,P,,,2019-08-28,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,
ELEC,Littleman Parking 129 Montgomery - Tesla Destination,129 Montgomery St,,Jersey City,NJ,07302,,201-369-1620  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.716989,-74.040043,2022-10-06,150565,2023-01-18 15:15:20 UTC,P,,,2019-04-01,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,
ELEC,Littleman Parking 2 14th Street - Tesla Destination,2 14th St,,Hoboken,NJ,07030,,201-850-1008  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.75348,-74.024183,2022-10-06,150566,2023-01-18 15:15:20 UTC,P,,,2019-03-31,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,
ELEC,Littleman Parking 2 12th Street - Tesla Destination,2 12th St,,Hoboken,NJ,07030,,201-217-1683  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.750728,-74.024441,2022-10-06,150567,2023-01-18 15:15:20 UTC,P,,,2019-03-31,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,
ELEC,Sylvan Parking 273 15th Street - Tesla Destination,273 15th St,,Jersey City,NJ,07310,,201-918-2869  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,40.732825,-74.045472,2022-10-06,150568,2023-01-18 15:15:20 UTC,P,,,2019-03-31,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,
ELEC,Sylvan Parking 837 Jersey Avenue - Tesla Destination,837 Jersey Ave,,Jersey City,NJ,07310,,201-659-4111  877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.734819,-74.045186,2022-10-06,150569,2023-01-18 15:15:20 UTC,P,,,2019-03-31,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,
ELEC,Boonton ACME Shopping Center - Tesla Supercharger,550 Myrtle Avenue,,Boonton,NJ,07005,,877-798-3752,E,,Public,24 hours daily,,,,,,,10,,Tesla,https://www.tesla.com/supercharger,GPS,40.90755,-74.397715,2023-07-01,150819,2023-07-14 19:41:28 UTC,P,,,2019-12-19,,,,,TESLA,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Brunswick Square,755 Nj-18 East,,Brunswick,NJ,08816,,888-264-2208,E,,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,,,,2,,,Volta,https://voltacharging.com/,GPS,40.4241605,-74.3815725,2023-09-26,151791,2023-09-26 01:32:28 UTC,,,,2019-03-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,
ELEC,Cinemark 12 Hazlet,2821 Nj-35 Hazlet,,Hazlet,NJ,07730,,888-264-2208,E,,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,,,,2,,,Volta,https://voltacharging.com/,GPS,40.4186445,-74.1694185,2023-09-26,151792,2023-09-26 01:33:12 UTC,,,,2019-10-31,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,
ELEC,Whole Foods Market Weehawken,1400 Waterfront Terr,,Weehawken,NJ,07086,,888-264-2208,E,,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,,,,2,,,Volta,https://voltacharging.com/,GPS,40.761544,-74.023127,2023-09-26,151793,2023-09-26 01:32:40 UTC,,,,2019-06-28,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,
ELEC,Woodbridge Center Stations 03-06,250 Woodbridge Center Drive,,Woodbridge,NJ,07095,,888-264-2208,E,,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,,,,4,,,Volta,https://voltacharging.com/,GPS,40.55522,-74.29773675,2023-09-26,151841,2023-09-26 01:32:43 UTC,,,,2019-11-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,
ELEC,Woodbridge Center Macy's,250 Woodbridge Center Drive,,Woodbridge,NJ,07095,,888-264-2208,E,,Public,Mon 5:00am - 10:59pm; Tue 5:00am - 10:59pm; Wed 5:00am - 10:59pm; Thu 5:00am - 10:59pm; Fri 5:00am - 10:59pm; Sat 5:00am - 10:59pm; Sun 5:00am - 10:59pm,,,,,,2,,,Volta,https://voltacharging.com/,GPS,40.5551285,-74.3002275,2023-09-26,152206,2023-09-26 01:33:39 UTC,,,,2020-01-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,
ELEC,BARCLAY-SQUARE 1900 BARCLAY ST,1900 Barclay Blvd,,Princeton,NJ,08540,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.360482,-74.619422,2023-09-26,152318,2023-09-26 00:40:26 UTC,,,,2020-01-09,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,VERMELLA HARRIS VH 1,1100 Frank E Rodgers Blvd S,,Harrison,NJ,07029,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.735767,-74.15482,2023-09-26,152388,2023-09-26 00:39:55 UTC,,,,2020-01-11,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,"Walmart 5447 - Kearny, NJ",150 Harrison Ave,,Kearny,NJ,07032,,833-632-2778,E,,Public,24 hours daily,,,,,,1,3,,Electrify America,https://www.electrifyamerica.com/,GPS,40.74863,-74.13629,2023-09-26,152423,2023-09-26 01:26:04 UTC,,,,2020-01-14,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,3 EXECUTIVE NORTHWEST EVCS,3 Executive Campus,,Cherry Hill,NJ,08002,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,39.931835,-75.05099,2023-09-26,152431,2023-09-26 00:40:37 UTC,,,,2020-01-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,RHA FAIRVIEW FARM,2121 Larger Cross Rd N,,Bedminster,NJ,07921,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.70309,-74.700236,2023-09-26,152459,2023-09-26 00:40:33 UTC,,,,2020-01-16,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,BT TOWN HALL BERNARDS TWP1,1 Collyer Ln,,Basking Ridge,NJ,07920,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.697132,-74.546585,2023-09-26,152487,2023-09-26 00:40:44 UTC,,,,2020-01-17,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,MKA M.S. CAMPUS,201 Valley Rd,,Montclair,NJ,07042,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.827281,-74.216416,2023-09-26,153047,2023-09-26 00:41:01 UTC,,,,2020-01-25,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,MKA U.S. CAMPUS,6 Lloyd Rd,,Montclair,NJ,07042,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.821591,-74.227514,2023-09-26,153053,2023-09-26 00:40:17 UTC,,,,2020-01-25,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,EASTAMPTON EASTAMPTON ST1,12000 Hamilton Way,,Eastampton Township,NJ,08060,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.006578,-74.767954,2023-09-26,153143,2023-09-26 00:41:11 UTC,,,,2020-01-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,VERMELLA UNION UNION A-2,1 Vermella Way,,Union,NJ,07083,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.68429,-74.235435,2023-09-26,153150,2023-09-26 00:40:18 UTC,,,,2020-01-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Walmart 4456 Somerdale,1 Coopertowne Blvd,,Somerdale,NJ,08083,,833-632-2778,E,,Public,24 hours daily,,,,,,,8,,Electrify America,https://www.electrifyamerica.com/,GPS,39.8541,-75.02287,2023-09-26,153204,2023-09-26 01:25:47 UTC,,,,2020-01-31,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,MKA P.S. CAMPUS,224 Orange Rd,,Montclair,NJ,07042,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.804429,-74.22074,2023-09-26,153227,2023-09-26 00:41:02 UTC,,,,2020-02-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,BRIDGEWATER TWP STATION 2,1 Vogt Dr,,Bridgewater Township,NJ,08807,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.58798,-74.60765,2023-09-26,153229,2023-09-26 00:40:57 UTC,,,,2020-02-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,CONNELL PARK STATION 1,250 Connell Dr,,Berkeley Heights,NJ,07922,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.662554,-74.416264,2023-09-26,153235,2023-09-26 00:25:21 UTC,,,,2020-02-01,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,"Target T1175 - Fairfield, NJ",US HWY 46,,Fairfield,NJ,07004,,833-632-2778,E,,Public,24 hours daily,,,,,,1,3,,Electrify America,https://www.electrifyamerica.com/,GPS,40.88975,-74.26989,2023-09-26,153239,2023-09-26 01:25:44 UTC,,,,2020-02-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,ANNIN LOFTS AL,141 Bloomfield Ave,,Verona,NJ,07044,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.82508,-74.233215,2023-09-26,153320,2023-09-26 00:41:22 UTC,,,,2020-02-06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,MONTVALE DEV WEGMANS,300 W Grand Ave,,Montvale,NJ,07645,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.049171,-74.060106,2023-09-26,153600,2023-09-26 00:20:30 UTC,,,,2020-02-11,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,SOMERSET COUNTY EAST HIGH ST,45 E High St,,Somerville,NJ,08876,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.568905,-74.608882,2023-09-26,153722,2023-09-26 00:39:00 UTC,,,,2020-02-14,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,FASTWAY GAS FASTWAY GAS 1,386 Dover Chester Rd,,Randolph,NJ,07869,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.822815,-74.626618,2023-09-26,154043,2023-09-26 00:41:52 UTC,,,,2020-02-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,JLR PARSIPPANY STATION 01,220 Route 46 West,,Parsippany-Troy Hills,NJ,07054,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.858585,-74.35517,2023-09-26,154044,2023-09-26 00:39:11 UTC,,,,2020-02-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,TOWNPLACE SUITE STATION 1,1638 NJ-31,,Clinton,NJ,08809,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.643956,-74.907453,2023-09-26,154045,2023-09-26 00:39:03 UTC,,,,2020-02-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,BRIDGEWATER TWP STATION 1,100 Commons Way,,Bridgewater Township,NJ,08807,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.591714,-74.625642,2023-09-26,154046,2023-09-26 00:38:51 UTC,,,,2020-02-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Wawa - Tesla Supercharger,2801 Route 73,,Maple Shade,NJ,08052,,877-798-3752,E,,Public,24 hours daily,,,,,,,8,,Tesla,https://www.tesla.com/supercharger,GPS,39.937425,-74.970187,2023-07-01,154201,2023-07-14 19:41:28 UTC,P,,,2020-02-28,,,,,TESLA,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,ESSEX COUNTY #1,16-84 W Market St,,Newark,NJ,07102,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.739129,-74.181671,2023-09-26,154275,2023-09-26 00:42:03 UTC,,,,2020-03-04,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,MB OF NEWTON OUTSIDE 2,92 Hampton House Rd,,Newton,NJ,07860,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.088022,-74.73016,2023-09-26,154368,2023-09-26 00:42:14 UTC,,,,2020-03-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,PANYNJ JSTC STATION 1,3 Journal Square Plaza PATH-JSTC,,Jersey City,NJ,07306,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.732185,-74.062432,2023-09-26,154582,2023-09-26 00:28:25 UTC,,,,2020-03-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,MUNICIPAL LOT 2 MUNI LOT 2 ST1,"1 Jean walling, Civic Center Lot 3",,East Brunswick,NJ,08816,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.41666,-74.41871,2023-09-26,154701,2023-09-26 00:42:46 UTC,,,,2020-03-25,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,CG TOWN HALL CG TOWN HALL,525 Pompton Ave,,Cedar Grove,NJ,07009,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.851303,-74.2286,2023-09-26,154702,2023-09-26 00:42:45 UTC,,,,2020-03-25,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,DEFOREST CHARGE DEFOREST AVE1,40 Deforest Ave,,Summit,NJ,07901,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.718838,-74.35955,2023-09-26,154703,2023-09-26 00:40:19 UTC,,,,2020-03-25,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,CREST OFFICE KELLER WILLIAM,5501 New Jersey Ave,,Wildwood Crest,NJ,08260,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.980838,-74.82853,2023-09-26,154815,2023-09-26 00:42:58 UTC,,,,2020-03-28,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,JERSEYCITY ANNEX KEARNEY,1 Jackson Square,,Jersey City,NJ,07305,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.710438,-74.07823,2023-09-26,155320,2023-09-26 00:42:12 UTC,,,,2020-04-11,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,IMPERIALHOUSE IMPERIALHOUSE,787 Ocean Ave,,Long Branch,NJ,07740,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.277546,-73.98467,2023-09-26,155491,2023-09-26 00:43:12 UTC,,,,2020-04-22,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNG,Codyco,2101 Dennisville-Petersburg Rd,,Woodbine,NJ,08270,,609-390-2127,E,,Public - Credit card at all times,24 hours daily,A D M V,,Q,3600,,,,,,,200-9,39.224956,-74.774461,2023-01-10,155590,2023-09-25 15:03:54 UTC,P,,,2019-01-15,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,STANDALONE_STATION,4,,625,,,,,,,,,Q,3600,HD,,,false,,,,,,false,,HD
E85,Conoco - 130 Truck Stop,2601 Route 130,,Cinnaminson,NJ,08077,,856-389-5382,E,,Public,24 hours daily,A Cash D Debit M V,,,,,,,,,,200-8,40.00697,-74.97477,2023-05-03,156023,2023-09-20 22:42:46 UTC,P,,,2020-05-01,,,,false,,US,,,,Public,,public,,,GAS_STATION,,,,,,,,,,,,,,,,,false,,,,,,,,MD
ELEC,BLOOMFIELD GLENWOOD ST 3,304 Glenwood Ave,,Bloomfield,NJ,07003,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.793087,-74.19871,2023-09-26,156077,2023-09-26 00:43:37 UTC,,,,2020-05-06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,BLOOMFIELD GLENWOOD ST 1,300 Glenwood ave 68 Washington st,,Bloomfield,NJ,07003,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.79301,-74.198906,2023-09-26,156078,2023-09-26 00:43:32 UTC,,,,2020-05-06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,BLOOMFIELD GLENWOOD ST 2,304 Glenwood Ave 68 Washington st,,Bloomfield,NJ,07003,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.792942,-74.198814,2023-09-26,156079,2023-09-26 00:43:32 UTC,,,,2020-05-06,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Rutgers University - CAIT,100 Brett Rd,,Piscataway,NJ,08854,,848-445-0579,E,,Public,24 hours daily; Rutgers University parking permit required,,,,,,2,,,Non-Networked,,GPS,40.522336,-74.459385,2023-02-13,156252,2023-02-14 15:54:11 UTC,P,,,2020-05-08,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,,,,,,,,,,,true,,,,,,,,LD
CNG,South Jersey Gas,650 Shunpike Rd,,Burleigh,NJ,08210,,866-278-3674,E,,Public - Credit card at all times,24 hours daily,CleanEnergy D FuelMan M V Voyager Wright_Exp,,Q,3600,,,,,,,200-9,39.052532,-74.851683,2022-12-13,156339,2023-09-25 15:01:25 UTC,T,,,2020-05-07,,HD,,,,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,UTILITY,2,LANDFILL,1000,,,,,,,,,Q,3600,HD,,,false,,,,,,true,,HD
ELEC,ESSEX COUNTY ENVIRO CEN ST 1,621 Eagle Rock Ave,,Roseland,NJ,07068,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.825764,-74.33314,2023-09-26,158242,2023-09-26 00:44:24 UTC,,,,2020-05-30,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Wawa - Tesla Supercharger,909 Route 33,,Freehold,NJ,07728,,877-798-3752,E,,Public,24 hours daily,,,,,,,8,,Tesla,https://www.tesla.com/supercharger,GPS,40.238574,-74.227693,2023-07-01,163875,2023-07-14 19:41:28 UTC,P,,,2020-06-26,,,,,TESLA,US,,,,Public,,public,,,GROCERY,,,,,,,,,,,,,,,,,,,,,,,,,
ELEC,Paramus Park,700 Paramus Park,,Paramus,NJ,07652,,888-264-2208,E,,Public,Mon 8:00am - 9:30pm; Tue 8:00am - 9:30pm; Wed 8:00am - 9:30pm; Thu 8:00am - 9:30pm; Fri 8:00am - 9:30pm; Sat 8:00am - 9:30pm; Sun 8:00am - 9:30pm,,,,,,8,,,Volta,https://voltacharging.com/,GPS,40.956476125,-74.068844375,2023-09-26,164013,2023-09-26 01:34:31 UTC,,,,2020-07-02,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,false,,,,,,,,
ELEC,Madison Recreational Center (MRC #1 and #2),184 Ridgedale Avenue,,Madison,NJ,07940,,800-663-5633,E,,Public,24 hours daily,,,,,,2,,,Blink Network,http://www.blinkcharging.com/,GPS,40.772814603293,-74.410335812689,2023-09-26,164140,2023-09-26 00:05:02 UTC,,,,2020-03-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,$1.00-$25.00/Hr Variable Parking Fee,,,,,,,,,,,,,,,,,,
ELEC,LAWRENCE TWP TOWN HALL PS 1,2207 Lawrenceville Rd,,Lawrence Township,NJ,08648,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.283215,-74.73337,2023-09-26,164388,2023-09-26 00:45:48 UTC,,,,2020-07-21,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,
